Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-08-22,2016,8,22,Monday,34,2016-34,96.47,96.47,95.65,95.87,5495300,91.1,-0.005394935031229231,91.75357142857142,92.5
2016-08-23,2016,8,23,Tuesday,34,2016-34,96.13,96.43,95.8,95.97,4996300,91.2,0.0010431859033150914,91.74571428571429,92.483
2016-08-24,2016,8,24,Wednesday,34,2016-34,96.01,96.22,95.51,95.82,5912500,91.06,-0.0015629390616057615,91.79071428571429,92.44759999999998
2016-08-25,2016,8,25,Thursday,34,2016-34,95.62,95.82,95.41,95.55,4518700,90.8,-0.0028178282538245947,91.77142857142857,92.40939999999999
2016-08-26,2016,8,26,Friday,34,2016-34,95.66,96.13,94.75,95.21,6019600,90.48,-0.0035583068176500143,91.735,92.3626
2016-08-29,2016,8,29,Monday,35,2016-35,95.07,95.32,94.46,94.87,7903000,90.15,-0.0035710979030614265,91.61214285714287,92.2976
2016-08-30,2016,8,30,Tuesday,35,2016-35,94.77,95.29,94.77,94.86,6845000,90.15,-0.00010544356196817706,91.40857142857143,92.2218
2016-08-31,2016,8,31,Wednesday,35,2016-35,94.69,94.9,94.16,94.46,7375200,89.77,-0.00421666383705066,91.1842857142857,92.1526
2016-09-01,2016,9,1,Thursday,35,2016-35,94.73,94.87,93.91,94.26,6274200,89.57,-0.002117344683860156,91.00857142857144,92.08
2016-09-02,2016,9,2,Friday,35,2016-35,94.75,94.96,94.13,94.42,5382000,89.73,0.001697333598619677,90.82714285714287,92.0062
2016-09-06,2016,9,6,Tuesday,36,2016-36,94.53,94.53,93.35,93.8,8463500,89.14,-0.006566278050210594,90.61857142857141,91.98280000000001
2016-09-07,2016,9,7,Wednesday,36,2016-36,93.98,94.03,93.33,93.71,6281500,89.05,-0.000959560651148883,90.40357142857142,91.98299999999999
2016-09-08,2016,9,8,Thursday,36,2016-36,93.49,94.21,92.93,94.09,7438100,89.41,0.004055084100672568,90.22928571428572,91.9588
2016-09-09,2016,9,9,Friday,36,2016-36,93.51,93.74,92.39,92.42,10248400,87.83,-0.017748909881085462,89.96000000000001,91.8854
2016-09-12,2016,9,12,Monday,37,2016-37,91.96,93.86,91.95,93.64,9367300,88.99,0.01320053028328072,89.8092857142857,91.8194
2016-09-13,2016,9,13,Tuesday,37,2016-37,93.04,93.3,92.45,92.7,7795200,88.09,-0.010038374277728024,89.58714285714287,91.73140000000001
2016-09-14,2016,9,14,Wednesday,37,2016-37,92.59,92.89,92.07,92.26,6386500,87.67,-0.00474656342693458,89.345,91.64200000000001
2016-09-15,2016,9,15,Thursday,37,2016-37,92.12,92.75,91.19,92.5,7559400,87.9,0.002601366400464711,89.13785714285714,91.5424
2016-09-16,2016,9,16,Friday,37,2016-37,92.27,92.74,91.8,92.56,10568600,87.96,0.000648697609791471,88.95785714285715,91.4312
2016-09-19,2016,9,19,Monday,38,2016-38,92.8,93.32,92.34,92.63,5421500,88.03,0.0007562654279145153,88.80642857142857,91.2984
2016-09-20,2016,9,20,Tuesday,38,2016-38,92.7,93.3,92.68,92.95,6200100,88.33,0.003454489354067558,88.67642857142857,91.1648
2016-09-21,2016,9,21,Wednesday,38,2016-38,93.0,93.08,91.7,92.39,12049500,87.8,-0.006024566237708862,88.53571428571429,91.01639999999999
2016-09-22,2016,9,22,Thursday,38,2016-38,92.73,93.71,92.64,93.41,6470700,88.77,0.011040205869959907,88.47857142857141,90.8934
2016-09-23,2016,9,23,Friday,38,2016-38,93.07,93.52,93.0,93.27,4407700,88.63,-0.001498939053688142,88.39999999999999,90.76599999999999
2016-09-26,2016,9,26,Monday,39,2016-39,92.47,92.68,91.4,91.96,10449300,87.39,-0.014045243640259941,88.27499999999999,90.61699999999999
